date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
15:12:10	7205/7205	---MCZ	200	added ('OK')	text/html	date:Mon,%2024%20Sep%202018%2017:58:48%20GMT	https://colorlib.com/etc/bwiz/colorlib-wizard-18/index.html	C:/My%20Web%20Sites/new_landingpage/colorlib.com/etc/bwiz/colorlib-wizard-18/index.html	(from )
15:12:10	79/79	---MCZ	200	added ('OK')	text/plain	etag:W/%22526e4e2b-5e%22	https://colorlib.com/robots.txt		(from )
15:12:11	70815/70815	---MCZ	200	added ('OK')	text/css	etag:W/%225ba92669-1149f%22	https://colorlib.com/etc/bwiz/colorlib-wizard-18/fonts/material-icon/css/material-design-iconic-font.min.css	C:/My%20Web%20Sites/new_landingpage/colorlib.com/etc/bwiz/colorlib-wizard-18/fonts/material-icon/css/material-design-iconic-font.min.css	(from https://colorlib.com/etc/bwiz/colorlib-wizard-18/index.html)
15:12:11	15654/15654	---MCZ	200	added ('OK')	text/css	etag:W/%225ba925db-4fff%22	https://colorlib.com/etc/bwiz/colorlib-wizard-18/css/style.css	C:/My%20Web%20Sites/new_landingpage/colorlib.com/etc/bwiz/colorlib-wizard-18/css/style.css	(from https://colorlib.com/etc/bwiz/colorlib-wizard-18/index.html)
15:12:11	24500/24500	---M--	200	added ('OK')	image/png	etag:%225ba925de-6dd0%22	https://colorlib.com/etc/bwiz/colorlib-wizard-18/images/signup-img-1.png	C:/My%20Web%20Sites/new_landingpage/colorlib.com/etc/bwiz/colorlib-wizard-18/images/signup-img-1.png	(from https://colorlib.com/etc/bwiz/colorlib-wizard-18/index.html)
15:12:11	19360/19360	---M--	200	added ('OK')	image/png	etag:%225ba925df-5751%22	https://colorlib.com/etc/bwiz/colorlib-wizard-18/images/signup-img-2.png	C:/My%20Web%20Sites/new_landingpage/colorlib.com/etc/bwiz/colorlib-wizard-18/images/signup-img-2.png	(from https://colorlib.com/etc/bwiz/colorlib-wizard-18/index.html)
15:12:12	24350/24350	---M--	200	added ('OK')	image/png	etag:%225ba925de-6feb%22	https://colorlib.com/etc/bwiz/colorlib-wizard-18/images/signup-img-3.png	C:/My%20Web%20Sites/new_landingpage/colorlib.com/etc/bwiz/colorlib-wizard-18/images/signup-img-3.png	(from https://colorlib.com/etc/bwiz/colorlib-wizard-18/index.html)
15:12:12	86929/86929	---MCZ	200	added ('OK')	application/javascript	etag:W/%225ba92662-15391%22	https://colorlib.com/etc/bwiz/colorlib-wizard-18/vendor/jquery/jquery.min.js	C:/My%20Web%20Sites/new_landingpage/colorlib.com/etc/bwiz/colorlib-wizard-18/vendor/jquery/jquery.min.js	(from https://colorlib.com/etc/bwiz/colorlib-wizard-18/index.html)
15:12:12	23261/23261	---MCZ	200	added ('OK')	application/javascript	etag:W/%225ba92671-5add%22	https://colorlib.com/etc/bwiz/colorlib-wizard-18/vendor/jquery-validation/dist/jquery.validate.min.js	C:/My%20Web%20Sites/new_landingpage/colorlib.com/etc/bwiz/colorlib-wizard-18/vendor/jquery-validation/dist/jquery.validate.min.js	(from https://colorlib.com/etc/bwiz/colorlib-wizard-18/index.html)
15:12:13	18464/18464	---MCZ	200	added ('OK')	application/javascript	etag:W/%225ba92671-4820%22	https://colorlib.com/etc/bwiz/colorlib-wizard-18/vendor/jquery-validation/dist/additional-methods.min.js	C:/My%20Web%20Sites/new_landingpage/colorlib.com/etc/bwiz/colorlib-wizard-18/vendor/jquery-validation/dist/additional-methods.min.js	(from https://colorlib.com/etc/bwiz/colorlib-wizard-18/index.html)
